label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
FIST,-0.000000,0.000000,0.000000,-0.281193,-0.236464,-0.055538,-0.449217,-0.575128,-0.085180,-0.444550,-0.873511,-0.132496,-0.278886,-0.859120,-0.162556,-0.269243,-0.977745,0.031003,-0.289977,-1.331190,-0.017430,-0.306921,-1.098718,-0.000768,-0.281701,-0.907866,0.012378,-0.104646,-0.994510,-0.024755,-0.108431,-1.380187,-0.134044,-0.160086,-1.105383,-0.157258,-0.160365,-0.923243,-0.136695,0.059293,-0.950283,-0.099707,0.092727,-1.357474,-0.231604,0.001652,-1.127771,-0.259236,-0.029866,-0.896944,-0.234324,0.219066,-0.845686,-0.184063,0.246887,-1.174317,-0.248720,0.148594,-1.061804,-0.259231,0.096258,-0.892926,-0.247560
FIST,-0.000000,0.000000,0.000000,-0.283415,-0.228900,-0.057841,-0.451495,-0.571241,-0.088358,-0.453990,-0.874243,-0.135999,-0.290695,-0.864174,-0.167116,-0.275161,-0.974514,0.023631,-0.299558,-1.330202,-0.027833,-0.319207,-1.104134,-0.012832,-0.290635,-0.912611,-0.000181,-0.114002,-0.993481,-0.031422,-0.118168,-1.384233,-0.142337,-0.171910,-1.113897,-0.165969,-0.170281,-0.927503,-0.145878,0.048421,-0.950937,-0.105855,0.079164,-1.361191,-0.239871,-0.011290,-1.133411,-0.268083,-0.038441,-0.900805,-0.243517,0.207500,-0.848822,-0.189765,0.233248,-1.178874,-0.257025,0.135163,-1.066602,-0.268362,0.087148,-0.896721,-0.256892
FIST,-0.000000,0.000000,0.000000,-0.286029,-0.240173,-0.051064,-0.450805,-0.579286,-0.076844,-0.448625,-0.878135,-0.121256,-0.285953,-0.870118,-0.149477,-0.272906,-0.978333,0.044287,-0.294578,-1.329985,-0.000345,-0.316652,-1.117250,0.013970,-0.292004,-0.927065,0.025708,-0.113449,-0.993544,-0.011227,-0.117074,-1.377339,-0.113638,-0.171193,-1.121238,-0.141234,-0.172335,-0.931597,-0.125468,0.047570,-0.948952,-0.086048,0.078903,-1.352177,-0.212550,-0.011294,-1.136943,-0.245108,-0.041126,-0.904533,-0.225330,0.204618,-0.846589,-0.170195,0.231453,-1.177853,-0.233704,0.135427,-1.072719,-0.246552,0.085658,-0.901774,-0.237366
FIST,-0.000000,0.000000,0.000000,-0.285163,-0.224403,-0.053479,-0.458016,-0.563755,-0.082934,-0.467890,-0.863655,-0.129815,-0.308000,-0.863689,-0.159923,-0.280824,-0.973195,0.028610,-0.309634,-1.326859,-0.019633,-0.325550,-1.095955,-0.002099,-0.295815,-0.903047,0.012072,-0.120639,-0.992696,-0.027608,-0.133751,-1.381722,-0.136435,-0.179967,-1.102350,-0.156555,-0.173305,-0.912220,-0.133344,0.043037,-0.952277,-0.102233,0.064114,-1.362928,-0.231203,-0.017781,-1.130836,-0.252939,-0.039730,-0.899019,-0.225039,0.203912,-0.852736,-0.186509,0.221361,-1.181427,-0.249872,0.129198,-1.065284,-0.256498,0.085519,-0.896578,-0.241926
FIST,-0.000000,0.000000,0.000000,-0.285344,-0.224474,-0.050055,-0.463323,-0.562008,-0.079163,-0.478060,-0.853228,-0.126465,-0.313076,-0.835452,-0.157680,-0.277162,-0.974399,0.025171,-0.305933,-1.333762,-0.025303,-0.327505,-1.103155,-0.009497,-0.302233,-0.905180,0.003759,-0.118679,-0.992933,-0.033647,-0.130137,-1.389525,-0.143129,-0.182319,-1.116950,-0.166130,-0.178314,-0.919638,-0.145918,0.043956,-0.949165,-0.110468,0.070076,-1.366299,-0.239914,-0.019751,-1.141078,-0.266911,-0.048110,-0.904950,-0.243386,0.204887,-0.844155,-0.196414,0.227905,-1.178327,-0.261525,0.130102,-1.068637,-0.271744,0.079800,-0.895440,-0.260385
FIST,-0.000000,0.000000,0.000000,-0.292350,-0.215841,-0.046405,-0.485140,-0.543437,-0.075345,-0.516959,-0.835160,-0.121483,-0.350246,-0.825406,-0.151117,-0.302232,-0.967774,0.017416,-0.338570,-1.330467,-0.029670,-0.354769,-1.087309,-0.009819,-0.322682,-0.877834,0.005097,-0.140460,-0.990086,-0.042513,-0.152607,-1.388270,-0.149588,-0.203278,-1.109645,-0.170424,-0.197851,-0.905853,-0.150050,0.024965,-0.948952,-0.118684,0.050941,-1.365388,-0.245417,-0.039874,-1.133203,-0.272406,-0.067581,-0.894704,-0.250105,0.186145,-0.846420,-0.202738,0.203563,-1.181809,-0.265983,0.104475,-1.064700,-0.276634,0.055798,-0.886715,-0.266338
FIST,-0.000000,0.000000,0.000000,-0.289350,-0.207038,-0.044686,-0.480707,-0.534300,-0.076334,-0.516488,-0.819415,-0.125606,-0.363830,-0.825586,-0.159480,-0.302370,-0.964051,0.008880,-0.343627,-1.322629,-0.042323,-0.355955,-1.083746,-0.024684,-0.318158,-0.875737,-0.010699,-0.139074,-0.990282,-0.052237,-0.162975,-1.384430,-0.158324,-0.209759,-1.100379,-0.176337,-0.200702,-0.893789,-0.155321,0.025575,-0.950191,-0.129381,0.041578,-1.372043,-0.251059,-0.046360,-1.133641,-0.273937,-0.072790,-0.892444,-0.251972,0.187757,-0.846447,-0.214768,0.201904,-1.165925,-0.274938,0.102073,-1.043198,-0.283368,0.050307,-0.869164,-0.272547
FIST,-0.000000,0.000000,0.000000,-0.290844,-0.218165,-0.049895,-0.472350,-0.543452,-0.081045,-0.500387,-0.836918,-0.130213,-0.346674,-0.841655,-0.163360,-0.303131,-0.964765,0.018518,-0.339946,-1.314992,-0.033130,-0.355442,-1.079174,-0.016588,-0.323231,-0.877666,-0.003174,-0.141589,-0.989926,-0.041053,-0.162709,-1.380515,-0.152178,-0.209899,-1.100130,-0.173848,-0.203202,-0.904614,-0.153417,0.021979,-0.950593,-0.118586,0.037259,-1.364345,-0.250626,-0.050725,-1.126006,-0.277583,-0.075778,-0.886810,-0.254155,0.182269,-0.850115,-0.204531,0.196221,-1.168186,-0.270917,0.096388,-1.046020,-0.282127,0.047274,-0.873351,-0.271640
FIST,-0.000000,0.000000,0.000000,-0.287775,-0.224325,-0.043367,-0.464078,-0.555770,-0.068551,-0.495086,-0.855383,-0.113857,-0.362296,-0.886025,-0.143831,-0.292315,-0.963638,0.043472,-0.330158,-1.310198,-0.004115,-0.347752,-1.084298,0.008808,-0.321084,-0.890051,0.020341,-0.133940,-0.990989,-0.015426,-0.157620,-1.375842,-0.122729,-0.205048,-1.106931,-0.152020,-0.201993,-0.909140,-0.136723,0.028094,-0.956363,-0.092351,0.040501,-1.369826,-0.218688,-0.043502,-1.145516,-0.248228,-0.069369,-0.902450,-0.227242,0.187947,-0.864401,-0.177810,0.207514,-1.194989,-0.240544,0.112642,-1.088647,-0.251639,0.062450,-0.918075,-0.241285
FIST,-0.000000,0.000000,0.000000,-0.301673,-0.226627,-0.047657,-0.473145,-0.550961,-0.069289,-0.489115,-0.849081,-0.111147,-0.351167,-0.867809,-0.137552,-0.303570,-0.955599,0.061743,-0.345615,-1.298279,0.018466,-0.356049,-1.070331,0.030164,-0.321042,-0.871827,0.040398,-0.145526,-0.989354,0.007371,-0.173545,-1.369243,-0.099380,-0.212070,-1.098661,-0.137150,-0.201911,-0.895024,-0.127239,0.018543,-0.960651,-0.065962,0.029438,-1.369972,-0.194547,-0.047805,-1.144263,-0.234775,-0.066938,-0.900665,-0.219675,0.178373,-0.875857,-0.147874,0.193754,-1.206186,-0.211678,0.100899,-1.097951,-0.229562,0.055311,-0.928550,-0.224416
FIST,-0.000000,0.000000,0.000000,-0.291520,-0.236182,-0.040702,-0.459877,-0.562536,-0.064009,-0.478340,-0.855484,-0.109318,-0.350207,-0.888351,-0.139024,-0.286937,-0.960181,0.065397,-0.329362,-1.296669,0.022552,-0.342942,-1.085003,0.033384,-0.310898,-0.896809,0.042949,-0.129731,-0.991549,0.006539,-0.160208,-1.367603,-0.095157,-0.201814,-1.112210,-0.128848,-0.194530,-0.915576,-0.117638,0.032707,-0.960926,-0.071184,0.040065,-1.369703,-0.192506,-0.039207,-1.151334,-0.225510,-0.061321,-0.908740,-0.207865,0.193898,-0.870323,-0.157658,0.208864,-1.197889,-0.216731,0.115715,-1.095201,-0.228921,0.067936,-0.926897,-0.220310
FIST,-0.000000,0.000000,0.000000,-0.286783,-0.239318,-0.043647,-0.453503,-0.563985,-0.064532,-0.470144,-0.853609,-0.106820,-0.330247,-0.871872,-0.132896,-0.276797,-0.963552,0.071373,-0.318062,-1.296200,0.029729,-0.330962,-1.079499,0.041092,-0.301157,-0.892427,0.050741,-0.121399,-0.992604,0.014195,-0.152865,-1.362388,-0.089896,-0.192340,-1.100438,-0.124591,-0.186276,-0.905954,-0.112656,0.040985,-0.960697,-0.062458,0.046591,-1.364627,-0.187505,-0.028879,-1.143972,-0.222262,-0.050450,-0.905877,-0.203950,0.202504,-0.868419,-0.147978,0.216434,-1.193214,-0.208672,0.128398,-1.090137,-0.222257,0.084230,-0.924388,-0.214006
FIST,-0.000000,0.000000,0.000000,-0.301490,-0.247400,-0.038928,-0.474734,-0.563867,-0.054666,-0.486829,-0.853251,-0.092517,-0.326279,-0.847817,-0.114252,-0.291496,-0.962105,0.080446,-0.333202,-1.314245,0.040234,-0.339925,-1.081696,0.052626,-0.306240,-0.882991,0.062413,-0.135559,-0.990769,0.021840,-0.162279,-1.376196,-0.088587,-0.193778,-1.102230,-0.130058,-0.183657,-0.901156,-0.120904,0.029355,-0.960062,-0.055579,0.039693,-1.373852,-0.188999,-0.032660,-1.147889,-0.234421,-0.051805,-0.905708,-0.220672,0.193950,-0.872929,-0.140566,0.205428,-1.214520,-0.205900,0.120042,-1.103451,-0.226638,0.080344,-0.925844,-0.223422
FIST,-0.000000,0.000000,0.000000,-0.301691,-0.252338,-0.040592,-0.472523,-0.566198,-0.062215,-0.491603,-0.856662,-0.106772,-0.347225,-0.870186,-0.135777,-0.293565,-0.958134,0.067609,-0.340732,-1.305694,0.016414,-0.343110,-1.070553,0.021743,-0.304275,-0.874768,0.028191,-0.140103,-0.990137,0.007225,-0.175057,-1.373613,-0.115259,-0.201955,-1.091269,-0.160926,-0.187467,-0.887699,-0.153790,0.022892,-0.960861,-0.072056,0.024709,-1.379187,-0.213996,-0.045226,-1.142378,-0.258015,-0.060611,-0.890968,-0.242501,0.186792,-0.874799,-0.159132,0.197601,-1.214618,-0.229037,0.112319,-1.105936,-0.249855,0.074723,-0.932334,-0.246405
FIST,-0.000000,0.000000,0.000000,-0.302547,-0.252004,-0.038303,-0.474094,-0.562361,-0.052614,-0.492245,-0.853446,-0.089683,-0.336099,-0.853485,-0.110653,-0.291097,-0.961334,0.089561,-0.340174,-1.302281,0.048624,-0.340804,-1.069091,0.057441,-0.298410,-0.870575,0.064694,-0.139767,-0.990184,0.030697,-0.175397,-1.365132,-0.081981,-0.200308,-1.083945,-0.128168,-0.181699,-0.875217,-0.122354,0.024888,-0.960432,-0.047220,0.022160,-1.365302,-0.182851,-0.043630,-1.129758,-0.229914,-0.052269,-0.881761,-0.217104,0.190397,-0.876464,-0.132995,0.195046,-1.213805,-0.200015,0.109865,-1.097408,-0.221755,0.076160,-0.918620,-0.219368
FIST,-0.000000,0.000000,0.000000,-0.308248,-0.248671,-0.038064,-0.480661,-0.561002,-0.047547,-0.488597,-0.852480,-0.080235,-0.323519,-0.850559,-0.096829,-0.292180,-0.957709,0.105003,-0.343013,-1.295164,0.068083,-0.338607,-1.052854,0.075574,-0.295276,-0.849134,0.081019,-0.139657,-0.990200,0.047916,-0.178382,-1.359030,-0.062585,-0.197259,-1.075902,-0.116489,-0.178199,-0.860755,-0.116677,0.027527,-0.963593,-0.028291,0.022620,-1.361671,-0.161055,-0.038512,-1.123584,-0.214938,-0.048013,-0.871841,-0.207746,0.196447,-0.884290,-0.112515,0.198669,-1.217454,-0.177270,0.116822,-1.096573,-0.202391,0.082384,-0.913402,-0.203658
FIST,-0.000000,0.000000,0.000000,-0.300164,-0.243960,-0.049866,-0.470297,-0.566370,-0.065293,-0.458607,-0.856695,-0.101639,-0.282516,-0.842560,-0.121550,-0.288166,-0.963822,0.084645,-0.329722,-1.295709,0.041911,-0.333050,-1.056592,0.049514,-0.298549,-0.861750,0.055609,-0.132822,-0.991140,0.030334,-0.166078,-1.355766,-0.082251,-0.196502,-1.068433,-0.129096,-0.183468,-0.865080,-0.123509,0.032549,-0.959635,-0.044827,0.037352,-1.356099,-0.182653,-0.034288,-1.116703,-0.232262,-0.048772,-0.873756,-0.220407,0.200162,-0.872867,-0.128978,0.210014,-1.202966,-0.198443,0.122451,-1.081459,-0.222135,0.084527,-0.905198,-0.220691
FIST,-0.000000,0.000000,0.000000,-0.299328,-0.252922,-0.048756,-0.473957,-0.570647,-0.063362,-0.464377,-0.864458,-0.098043,-0.277681,-0.843901,-0.115625,-0.280048,-0.965592,0.081035,-0.326799,-1.307715,0.039197,-0.327845,-1.054703,0.049773,-0.288924,-0.853139,0.057923,-0.124177,-0.992260,0.026880,-0.157008,-1.368600,-0.088284,-0.185248,-1.080282,-0.134610,-0.171504,-0.874754,-0.127745,0.041648,-0.959054,-0.046883,0.048032,-1.365806,-0.186787,-0.021761,-1.129935,-0.235773,-0.036845,-0.885427,-0.222239,0.209254,-0.870027,-0.129157,0.219378,-1.215992,-0.198904,0.136959,-1.097760,-0.221605,0.101447,-0.914503,-0.218951
FIST,-0.000000,0.000000,0.000000,-0.303393,-0.252053,-0.055090,-0.475497,-0.583646,-0.066023,-0.449680,-0.881061,-0.096150,-0.257240,-0.844469,-0.109569,-0.283328,-0.964782,0.087999,-0.324017,-1.310275,0.049881,-0.327852,-1.064444,0.059922,-0.292619,-0.862326,0.067254,-0.124579,-0.992210,0.039103,-0.153113,-1.371974,-0.071865,-0.182955,-1.088537,-0.123303,-0.169187,-0.875172,-0.120656,0.042602,-0.959688,-0.030663,0.053153,-1.365500,-0.169116,-0.020052,-1.129670,-0.228159,-0.036720,-0.878250,-0.221173,0.212336,-0.873186,-0.109464,0.224683,-1.212861,-0.179969,0.135198,-1.099048,-0.210690,0.093487,-0.918866,-0.214122
FIST,-0.000000,0.000000,0.000000,-0.295656,-0.253555,-0.055371,-0.465077,-0.577853,-0.072526,-0.447324,-0.877284,-0.108738,-0.260552,-0.856234,-0.127988,-0.275746,-0.967377,0.073949,-0.314836,-1.313585,0.030472,-0.313948,-1.060716,0.039706,-0.276162,-0.854984,0.046541,-0.116839,-0.993151,0.022338,-0.142149,-1.373356,-0.097799,-0.169168,-1.084903,-0.149042,-0.156155,-0.874944,-0.144805,0.050285,-0.958584,-0.049104,0.065089,-1.363632,-0.193845,-0.007041,-1.129528,-0.250027,-0.025762,-0.885816,-0.240459,0.219834,-0.868295,-0.129176,0.234784,-1.213673,-0.203111,0.148812,-1.097335,-0.231546,0.109067,-0.916535,-0.232727
FIST,-0.000000,0.000000,0.000000,-0.298898,-0.247940,-0.060598,-0.472221,-0.580936,-0.082698,-0.443138,-0.879956,-0.123779,-0.249970,-0.860658,-0.147883,-0.284501,-0.964696,0.062976,-0.321980,-1.320139,0.014299,-0.320037,-1.056866,0.022425,-0.281017,-0.836945,0.028895,-0.121190,-0.992629,0.011543,-0.147181,-1.379298,-0.114152,-0.174333,-1.082106,-0.166457,-0.159933,-0.860875,-0.161922,0.048805,-0.960532,-0.060121,0.062388,-1.372972,-0.208342,-0.010618,-1.129429,-0.264065,-0.028521,-0.877971,-0.253637,0.223054,-0.871989,-0.140903,0.233505,-1.220243,-0.217407,0.145302,-1.102853,-0.246709,0.104783,-0.922510,-0.248190
FIST,-0.000000,0.000000,0.000000,-0.293121,-0.249724,-0.061278,-0.465592,-0.580249,-0.084946,-0.441207,-0.885197,-0.126746,-0.249554,-0.872824,-0.151242,-0.278137,-0.963321,0.053285,-0.319200,-1.315795,0.001054,-0.317601,-1.047640,0.010433,-0.276981,-0.835779,0.018594,-0.118023,-0.993011,0.001541,-0.143727,-1.379512,-0.128717,-0.170698,-1.075051,-0.175917,-0.156020,-0.865452,-0.166438,0.047660,-0.961046,-0.070471,0.062540,-1.374320,-0.223711,-0.011084,-1.124974,-0.273806,-0.028442,-0.876889,-0.257574,0.218073,-0.870618,-0.151432,0.230709,-1.221169,-0.230072,0.142308,-1.102763,-0.256611,0.101807,-0.924634,-0.254843
FIST,-0.000000,0.000000,0.000000,-0.296852,-0.254569,-0.056701,-0.467300,-0.584436,-0.074779,-0.448772,-0.887979,-0.111885,-0.261749,-0.872873,-0.131922,-0.276130,-0.966131,0.071091,-0.314373,-1.316006,0.024980,-0.317661,-1.063307,0.035048,-0.280649,-0.857146,0.043266,-0.117531,-0.993069,0.019491,-0.140583,-1.376357,-0.103107,-0.170396,-1.081472,-0.150737,-0.157994,-0.871727,-0.142779,0.048764,-0.959791,-0.052736,0.063771,-1.366830,-0.200839,-0.010135,-1.123310,-0.252311,-0.028127,-0.877129,-0.237993,0.219112,-0.870647,-0.133821,0.230694,-1.215711,-0.209868,0.142195,-1.097707,-0.236631,0.102081,-0.919324,-0.235574
FIST,-0.000000,0.000000,0.000000,-0.296297,-0.258500,-0.050848,-0.465760,-0.588821,-0.067542,-0.447109,-0.888193,-0.104900,-0.263552,-0.878915,-0.125557,-0.275524,-0.967401,0.079294,-0.311513,-1.315323,0.034854,-0.314108,-1.066397,0.043856,-0.279639,-0.858990,0.051218,-0.116671,-0.993171,0.025392,-0.140470,-1.373838,-0.095394,-0.169296,-1.083951,-0.145259,-0.158839,-0.869613,-0.139442,0.049670,-0.959020,-0.048517,0.063129,-1.364032,-0.192680,-0.009922,-1.122519,-0.243664,-0.030137,-0.873568,-0.230337,0.219506,-0.869710,-0.131148,0.229354,-1.214875,-0.204297,0.141929,-1.099905,-0.229941,0.100729,-0.922081,-0.228949
FIST,-0.000000,0.000000,0.000000,-0.292196,-0.260490,-0.053122,-0.462658,-0.590136,-0.071745,-0.445870,-0.888949,-0.109717,-0.257334,-0.870333,-0.130507,-0.269644,-0.970779,0.071079,-0.307672,-1.316833,0.025518,-0.312478,-1.059191,0.036852,-0.274669,-0.850006,0.045965,-0.111104,-0.993809,0.017197,-0.133652,-1.375556,-0.104585,-0.166710,-1.078216,-0.149700,-0.153573,-0.866031,-0.139911,0.053692,-0.956854,-0.056822,0.069699,-1.364835,-0.204009,-0.006247,-1.119600,-0.252579,-0.022674,-0.873095,-0.236275,0.221193,-0.863846,-0.139277,0.230934,-1.213503,-0.214410,0.141873,-1.095241,-0.238886,0.103725,-0.915836,-0.236211
FIST,-0.000000,0.000000,0.000000,-0.301114,-0.256350,-0.053132,-0.476051,-0.584079,-0.071782,-0.456999,-0.880626,-0.110495,-0.270548,-0.862194,-0.132495,-0.288573,-0.966037,0.075139,-0.325302,-1.316870,0.029848,-0.325998,-1.065216,0.037360,-0.289040,-0.854855,0.043361,-0.127434,-0.991847,0.022085,-0.150877,-1.374537,-0.100490,-0.176844,-1.083049,-0.153409,-0.163227,-0.864577,-0.149747,0.041602,-0.958324,-0.050513,0.056521,-1.366934,-0.195527,-0.013838,-1.125471,-0.250239,-0.031387,-0.875042,-0.239613,0.213246,-0.869474,-0.131778,0.222990,-1.216453,-0.204780,0.137378,-1.098980,-0.232128,0.098321,-0.918037,-0.232839
