label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
FIST,-0.000000,0.000000,0.000000,-0.284839,-0.228676,-0.050096,-0.459846,-0.571564,-0.072237,-0.464091,-0.866903,-0.112628,-0.291583,-0.839069,-0.136548,-0.278418,-0.972295,0.044767,-0.307935,-1.316499,-0.000931,-0.329379,-1.095116,0.014166,-0.303648,-0.910626,0.026606,-0.119774,-0.992801,-0.010877,-0.131593,-1.373240,-0.113337,-0.180605,-1.102135,-0.137027,-0.176007,-0.915752,-0.117964,0.042706,-0.953946,-0.085937,0.063787,-1.353060,-0.211300,-0.021268,-1.122338,-0.238533,-0.043936,-0.891725,-0.214825,0.203547,-0.857129,-0.170819,0.224633,-1.180564,-0.232294,0.131322,-1.062794,-0.241971,0.086745,-0.891429,-0.230290
FIST,-0.000000,0.000000,0.000000,-0.274497,-0.228997,-0.047785,-0.449823,-0.574063,-0.073899,-0.444238,-0.857357,-0.118788,-0.261711,-0.817388,-0.146975,-0.271455,-0.976398,0.033908,-0.302052,-1.307450,-0.012956,-0.321087,-1.064766,0.000443,-0.299353,-0.881784,0.010668,-0.110895,-0.993832,-0.024315,-0.124664,-1.361184,-0.126517,-0.172808,-1.081179,-0.149851,-0.170755,-0.898490,-0.132278,0.052480,-0.951356,-0.099869,0.074382,-1.339202,-0.218410,-0.009826,-1.102956,-0.239482,-0.036195,-0.874647,-0.214521,0.212732,-0.850442,-0.185651,0.234854,-1.169975,-0.237981,0.143100,-1.049635,-0.240799,0.097171,-0.879821,-0.226536
FIST,-0.000000,0.000000,0.000000,-0.278873,-0.222887,-0.057330,-0.456667,-0.565689,-0.088951,-0.449138,-0.854335,-0.136997,-0.272218,-0.830819,-0.167372,-0.277575,-0.972948,0.020252,-0.307652,-1.316725,-0.027749,-0.322332,-1.069842,-0.010897,-0.298294,-0.872018,0.002126,-0.112721,-0.993627,-0.033482,-0.125373,-1.376463,-0.140416,-0.169814,-1.092720,-0.162450,-0.166974,-0.897775,-0.142314,0.052904,-0.953401,-0.104661,0.076344,-1.356977,-0.226413,-0.006143,-1.113833,-0.247583,-0.033754,-0.875140,-0.221464,0.216714,-0.851489,-0.186411,0.238156,-1.177365,-0.242135,0.143892,-1.061590,-0.247512,0.092468,-0.892914,-0.233923
FIST,-0.000000,0.000000,0.000000,-0.271405,-0.214566,-0.055045,-0.449703,-0.557041,-0.090372,-0.451990,-0.848421,-0.143342,-0.277349,-0.836430,-0.179375,-0.277031,-0.974301,0.016893,-0.309365,-1.320772,-0.035166,-0.328240,-1.081843,-0.021093,-0.300084,-0.887773,-0.010036,-0.112760,-0.993622,-0.041665,-0.125174,-1.377705,-0.149968,-0.176232,-1.097405,-0.170976,-0.172260,-0.907653,-0.150514,0.052893,-0.952927,-0.118272,0.075197,-1.357673,-0.242742,-0.013410,-1.117700,-0.262603,-0.039914,-0.882602,-0.235986,0.218444,-0.850386,-0.205133,0.232965,-1.180544,-0.264161,0.136003,-1.058748,-0.268241,0.088480,-0.884043,-0.253446
FIST,-0.000000,0.000000,0.000000,-0.278155,-0.225474,-0.051593,-0.452785,-0.561598,-0.078776,-0.463008,-0.856622,-0.124069,-0.293854,-0.841433,-0.152143,-0.271152,-0.972567,0.038874,-0.301895,-1.316826,-0.009013,-0.321698,-1.080281,0.006082,-0.292446,-0.891216,0.017826,-0.111122,-0.993807,-0.018662,-0.123005,-1.377244,-0.125112,-0.174674,-1.099358,-0.148971,-0.171122,-0.916237,-0.130165,0.053235,-0.954420,-0.095716,0.076115,-1.359003,-0.224394,-0.014635,-1.124569,-0.252831,-0.042277,-0.893417,-0.229891,0.217031,-0.855446,-0.182196,0.235100,-1.178061,-0.245324,0.133470,-1.061130,-0.256592,0.081272,-0.891614,-0.246260
FIST,-0.000000,0.000000,0.000000,-0.285583,-0.231896,-0.054675,-0.458014,-0.571208,-0.077257,-0.455387,-0.865735,-0.116578,-0.277624,-0.826017,-0.138366,-0.277835,-0.971564,0.038034,-0.308243,-1.309640,-0.007456,-0.326006,-1.075155,0.009882,-0.300777,-0.891777,0.023408,-0.116639,-0.993174,-0.015445,-0.129625,-1.369497,-0.120243,-0.177030,-1.096958,-0.142267,-0.174771,-0.919952,-0.121922,0.047260,-0.952517,-0.088467,0.068799,-1.346306,-0.218589,-0.015943,-1.114145,-0.245756,-0.041046,-0.886181,-0.219986,0.207570,-0.852733,-0.171111,0.228876,-1.168702,-0.234213,0.132142,-1.051768,-0.244324,0.083824,-0.884574,-0.232431
FIST,-0.000000,0.000000,0.000000,-0.280357,-0.233020,-0.054599,-0.447387,-0.571462,-0.079713,-0.439780,-0.859963,-0.123121,-0.267045,-0.823420,-0.149800,-0.269164,-0.971111,0.043103,-0.297915,-1.301672,-0.006801,-0.317893,-1.079749,0.002492,-0.293294,-0.901730,0.010973,-0.108920,-0.994051,-0.011197,-0.122666,-1.360474,-0.115958,-0.171322,-1.095034,-0.145155,-0.169466,-0.919310,-0.131065,0.054364,-0.955121,-0.085745,0.075590,-1.346755,-0.212658,-0.008212,-1.124072,-0.244113,-0.033428,-0.898606,-0.223947,0.216102,-0.856754,-0.170618,0.242458,-1.169896,-0.232079,0.151585,-1.058552,-0.243724,0.104668,-0.893658,-0.234374
FIST,-0.000000,0.000000,0.000000,-0.281354,-0.228606,-0.047457,-0.446109,-0.566993,-0.070328,-0.442582,-0.859201,-0.113132,-0.280609,-0.844054,-0.139277,-0.272842,-0.973882,0.056713,-0.298241,-1.310256,0.013953,-0.317526,-1.091706,0.028861,-0.291023,-0.906074,0.040195,-0.109986,-0.993933,-0.000925,-0.122477,-1.363191,-0.101846,-0.170410,-1.094438,-0.126782,-0.167045,-0.909186,-0.108868,0.056179,-0.953968,-0.078217,0.075923,-1.344411,-0.202418,-0.007039,-1.112695,-0.229299,-0.030361,-0.883393,-0.205815,0.221071,-0.854010,-0.165193,0.235632,-1.164092,-0.225368,0.145128,-1.040262,-0.233520,0.102852,-0.868759,-0.221000
FIST,-0.000000,0.000000,0.000000,-0.282584,-0.234161,-0.056274,-0.448348,-0.581253,-0.082777,-0.433268,-0.875667,-0.127910,-0.260268,-0.849977,-0.156503,-0.270783,-0.975329,0.042757,-0.297276,-1.319143,-0.006229,-0.318288,-1.096760,0.004746,-0.295079,-0.908093,0.014263,-0.108048,-0.994146,-0.011738,-0.119700,-1.372009,-0.119213,-0.169824,-1.104676,-0.150172,-0.168230,-0.915166,-0.135892,0.056537,-0.952421,-0.086263,0.080615,-1.353031,-0.215548,-0.005636,-1.125730,-0.248890,-0.032186,-0.890554,-0.229086,0.219397,-0.850786,-0.171000,0.241636,-1.173721,-0.234829,0.148426,-1.062428,-0.247858,0.101144,-0.892542,-0.238899
FIST,-0.000000,0.000000,0.000000,-0.279544,-0.234233,-0.056583,-0.447100,-0.577532,-0.085252,-0.437398,-0.872518,-0.132311,-0.267508,-0.858625,-0.162633,-0.266464,-0.978071,0.042272,-0.288824,-1.327541,-0.004598,-0.310393,-1.110472,0.007688,-0.286147,-0.919843,0.018022,-0.103282,-0.994652,-0.011782,-0.110031,-1.376788,-0.115849,-0.162151,-1.114585,-0.145224,-0.161410,-0.923583,-0.130197,0.060992,-0.952391,-0.085631,0.090187,-1.354738,-0.210193,0.001694,-1.134054,-0.242059,-0.027443,-0.899131,-0.222235,0.223885,-0.849396,-0.169917,0.251284,-1.176343,-0.230098,0.154700,-1.071191,-0.241727,0.102718,-0.901726,-0.232049
